228.08	34.09	1	2197.03	27.41	30.72	17921.38
297.63	20.63	-18	1828.51	43.69	30.57	15780.1
298.95	44.58	18	1384.26	26.44	45.99	12136.63
294.75	14.24	-10	2083.63	102.78	22.87	19231.45
215.94	25.69	-10	1642.84	111.73	39.78	15969.91
252.21	21.55	-12	1893.42	26.43	29.27	15770.98
206.76	17.78	4	1952.19	111.65	26.99	18329.44
244.41	35.38	14	1259.54	108.12	38.88	13769.49
212.23	35.27	-9	1333.95	26.71	22.63	12215.91
215.09	19.54	13	2092.29	39.7	33.28	17975.19
282.35	30.65	-11	1346.42	99.08	33.83	14096.79
201.07	20.63	-7	1950.3	100.7	34.63	17550.24
246.12	38.31	-11	1467.18	49.99	35.37	13470.16
245.25	44.81	-7	1925.98	79.77	22.72	16651.68
204.68	37.85	-7	2081.42	30.57	39.9	17704.02
212.03	27.92	-19	1720.88	95.73	38.61	17065.68
256.08	44.42	-3	1863.47	55.79	32.86	16565.39
279.92	37.8	12	1550.02	95.27	29.81	15614.16
292.88	20.68	-9	2185.98	57.27	36.5	18188.52
277.39	44.98	12	1817.94	44.5	36.61	15800.95
223.56	37.81	3	1984.49	78.23	36.47	18501.99
232.23	44.79	12	2063.99	115.08	36.7	18968.71
268.68	39.32	17	2079.67	25.81	27.49	18240.25
271.79	37.54	3	1990.83	89.45	33.83	18639.39
275.41	35.36	3	1464.51	114.43	35.69	16043.12
232.53	30.56	-13	1611.19	98.84	45.88	15742.93
229.8	20.59	-6	1957.47	110.02	22.59	18426.88
239.13	30.68	-12	2117.63	22.86	39.63	17595.7
221.54	33.18	-17	1323.61	66.68	22.56	12542.54
278.74	29.47	-15	1726.56	108.54	24.39	16480.62
268.11	21.85	-12	1739.17	76.12	23.36	15759.98
286.65	22.63	0	2048.94	54.94	26.13	17879.44
286.68	20.49	-5	1565.33	74.22	20.62	14288.69
228.03	46.06	-8	1335.02	31.21	22.45	11707.8
213.15	34.18	-19	1512.66	72.15	21.37	13941.12
287.24	30.46	20	1325.5	86.12	38.39	13524.55
287.76	46.67	-17	1986.54	91.99	27.34	18264.09
212.23	35.51	-1	1643.53	89.84	45.91	15462.01
224.24	25.73	4	1405.47	109.19	26.79	13735.01
247.6	44.79	11	2099.45	38.55	24.48	17222.96
213.49	15.16	19	1323.59	61.86	31.76	12215.79
258.44	44.01	13	1423.57	67.34	20.58	12863.95
227.08	27.95	-5	1915.81	68.16	22.38	16920.01
265.48	33.78	5	1972.6	94.6	33.28	18094.13
266.91	15.95	13	1603.98	111.57	37.47	15942.27
283.78	34.8	-18	1479.39	95.78	44.64	15293.04
238.36	36.54	-19	1378.81	81.27	31.52	14256.65
206.28	20.90	13	1808.24	55.43	36.59	15704.44
229.47	35.71	10	2022.7	22.75	38.29	16793.39
243.36	27.59	-15	1345.03	64.96	39.54	13105.61
